Date,Close,High,Low,Open,Volume
2023-02-23,129.0081329345703,129.50950390023527,128.265370053563,129.0824106393734,198100
2023-02-24,126.31564331054688,127.3833552956937,125.78641993505732,127.3833552956937,218700
2023-02-27,126.50133514404297,127.32765522527535,126.23209082933758,127.19767276868907,192100
2023-02-28,126.19493103027344,126.81699087326555,126.15779926119461,126.37133880920118,212200
2023-03-01,126.76128387451172,127.65260215376163,126.73343150644361,126.88198691415583,190900
2023-03-02,127.44834899902344,127.51333313907153,126.3434911149878,126.3806228854404,145100
2023-03-03,129.82518005371094,129.9087371631855,128.4974890349542,128.65533801999416,244700
2023-03-06,130.1037139892578,130.57721842900264,129.94587917600956,130.08514102092747,175500
2023-03-07,129.12884521484375,131.2735627390257,128.82245497324283,131.17143265849205,152600
2023-03-08,129.71377563476562,129.84375808802722,129.03599683052138,129.50951547006528,138800
2023-03-09,128.60891723632812,130.61435876986755,128.36751113326355,130.15013370031238,166000
2023-03-10,128.0982666015625,129.370238756463,127.61546856330563,129.2402563038967,343600
2023-03-13,127.30906677246094,127.90327423987992,126.5755974638592,126.6498751681645,247400
2023-03-14,126.89127349853516,126.97483060747012,125.86069332059772,126.6498815726038,221600
2023-03-15,124.0223617553711,125.34075915158941,122.8803721387566,125.34075915158941,287800
2023-03-16,126.17637634277344,126.29707940205866,124.19878705302193,124.44017900456663,190000
2023-03-17,123.92951202392578,125.8606898796522,123.73454544174109,125.8606898796522,192500
2023-03-20,125.46146392822266,126.09280318287576,123.99451110079323,124.08734760864131,277100
2023-03-21,126.06495666503906,126.42705164660802,125.34076670190116,125.52645389323979,224500
2023-03-22,125.86998748779297,127.90328131667962,125.79570977937792,126.33421254011878,301600
2023-03-23,126.14850616455078,127.29050994807524,125.50787335111602,126.84484371532356,129600
2023-03-24,126.8727035522461,126.88199712036531,125.52645370824428,126.27849604062341,155900
2023-03-27,127.1605224609375,127.4854714715268,126.66843091091704,126.90983698583712,137300
2023-03-28,128.06112670898438,128.5903501125077,127.29980492715707,127.5783428149575,210700
